epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1363.21,0.62491,0.06351,0.06747,0.39279,0.88603,0.99592,0.97826,0.99378,0.86755,0.99592,0.97826,0.99378,0.99314,0.57134,0.06565,0.0275,0.3399,0.83813,0.00182675,0.00182675,0.00182675
72,1381.9,0.62325,0.07273,0.07655,0.40025,0.88172,1,0.977,0.99457,0.88154,1,0.977,0.99457,0.99228,0.60274,0.0424,0.02802,0.4119,0.84287,0.00182428,0.00182428,0.00182428
73,1400.5,0.59198,0.06387,0.06003,0.38492,0.8854,1,0.99833,0.995,0.87202,1,0.99833,0.995,0.995,0.60561,0.04404,0.0187,0.42283,0.86033,0.0018218,0.0018218,0.0018218
74,1419.31,0.62149,0.06519,0.07092,0.39645,0.88302,0.99756,0.97826,0.99378,0.8853,0.99756,0.97826,0.99378,0.99378,0.5386,0.06022,0.05509,0.35091,0.82562,0.00181932,0.00181932,0.00181932
75,1437.91,0.61912,0.06675,0.07567,0.40183,0.89346,0.99699,0.97826,0.99417,0.87492,0.99699,0.97826,0.99417,0.99417,0.59669,0.05057,0.01548,0.38058,0.83195,0.00181685,0.00181685,0.00181685
76,1456.62,0.61375,0.0703,0.0703,0.39914,0.88051,0.99727,0.97826,0.98833,0.88613,0.99727,0.97826,0.99236,0.99236,0.57959,0.04393,0.02339,0.49355,0.84316,0.00181438,0.00181438,0.00181438
77,1475.39,0.62234,0.06701,0.0778,0.39907,0.87843,0.9957,0.95652,0.99255,0.87867,1,0.97524,0.99417,0.99177,0.57329,0.08405,0.01386,0.35903,0.83619,0.0018119,0.0018119,0.0018119
78,1494.98,0.61356,0.07922,0.08373,0.39435,0.88589,1,0.97637,0.99378,0.8727,0.97865,0.99641,0.99457,0.99449,0.61428,0.06213,0.02033,0.35548,0.84869,0.00180943,0.00180943,0.00180943
79,1513.67,0.60968,0.06596,0.07183,0.37986,0.88696,0.99717,0.97826,0.99457,0.87448,0.99717,0.97826,0.99457,0.99457,0.62041,0.05102,0.03941,0.376,0.85327,0.00180695,0.00180695,0.00180695
80,1532.89,0.60472,0.07232,0.06932,0.38468,0.88036,1,0.97744,0.98853,0.88635,1,0.97744,0.99173,0.99173,0.60308,0.05304,0.01882,0.53222,0.86764,0.00180448,0.00180448,0.00180448
