epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1941,0.6286,0.06156,0.08347,0.39909,0.89921,0.99805,0.9878,0.99453,0.90589,0.99805,0.9878,0.99453,0.99045,0.49817,0.04792,0.02528,0.31773,0.84483,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
32,2001.49,0.62081,0.05868,0.0811,0.39542,0.89376,0.98778,0.98588,0.9944,0.90194,0.99717,0.9878,0.99465,0.99312,0.48365,0.03861,0.04874,0.30771,0.83908,0.0286847,0.00956157,0.0286847,0.00956157,0.0286847,0.00956157,0.0286847,0.00956157
33,2062.52,0.61194,0.06144,0.07354,0.387,0.9019,1,0.99889,0.995,0.91336,1,0.99889,0.995,0.995,0.46833,0.0261,0.03847,0.29382,0.84733,0.0286423,0.00954743,0.0286423,0.00954743,0.0286423,0.00954743,0.0286423,0.00954743
34,2123.54,0.60485,0.05924,0.0794,0.39194,0.89657,0.98778,0.98544,0.99379,0.88936,0.98778,0.98544,0.99379,0.99016,0.5145,0.05482,0.04376,0.31,0.85594,0.0285999,0.00953329,0.0285999,0.00953329,0.0285999,0.00953329,0.0285999,0.00953329
35,2184.21,0.61244,0.05462,0.07621,0.39453,0.89706,0.98777,0.98503,0.99316,0.90679,0.98777,0.98503,0.99326,0.98917,0.48298,0.04611,0.02645,0.29897,0.84992,0.0285574,0.00951914,0.0285574,0.00951914,0.0285574,0.00951914,0.0285574,0.00951914
36,2245.16,0.60619,0.05392,0.08172,0.38626,0.89207,0.99879,0.9878,0.99476,0.89871,0.99879,0.9878,0.99476,0.99321,0.49318,0.03062,0.02474,0.30002,0.8518,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
37,2305.78,0.59608,0.06103,0.07443,0.3821,0.88964,1,0.98716,0.99488,0.90442,1,0.98716,0.99488,0.99488,0.50218,0.03353,0.00437,0.30257,0.8424,0.0284726,0.00949086,0.0284726,0.00949086,0.0284726,0.00949086,0.0284726,0.00949086
38,2366.65,0.58935,0.05418,0.06873,0.36746,0.88669,0.9998,0.9878,0.99488,0.91047,0.9998,0.9878,0.99488,0.99443,0.47104,0.02897,0.01965,0.29453,0.84519,0.0284301,0.00947671,0.0284301,0.00947671,0.0284301,0.00947671,0.0284301,0.00947671
39,2427.35,0.59093,0.05167,0.07086,0.37559,0.88447,0.99907,1,0.995,0.90131,0.99907,1,0.995,0.99328,0.48307,0.03223,0.04334,0.27699,0.84222,0.0283877,0.00946257,0.0283877,0.00946257,0.0283877,0.00946257,0.0283877,0.00946257
40,2488.22,0.58386,0.04881,0.06461,0.37198,0.88119,0.98745,1,0.99488,0.92431,0.98745,1,0.99488,0.9926,0.45729,0.04091,0.01571,0.28588,0.8426,0.0283453,0.00944843,0.0283453,0.00944843,0.0283453,0.00944843,0.0283453,0.00944843
