epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
36,295.311,0.51461,0.05718,0.09688,0.36463,0.85788,0.99448,0.975,0.99451,0.87666,0.99448,0.975,0.99451,0.99451,0.55694,0.03715,0.01974,0.3479,0.87979,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535,0.0049605,0.0016535
37,303.016,0.49095,0.04891,0.08324,0.345,0.84043,0.99973,1,0.995,0.87925,0.99973,1,0.995,0.995,0.56621,0.03938,0.01643,0.34092,0.87971,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
38,310.837,0.49048,0.05108,0.06607,0.34,0.84037,0.99889,1,0.995,0.87761,0.99889,1,0.995,0.995,0.57674,0.04184,0.01577,0.35803,0.88053,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337,0.0049011,0.0016337
39,318.547,0.50642,0.0555,0.07581,0.34684,0.84997,0.96871,1,0.99451,0.88205,0.96871,1,0.99451,0.99451,0.57838,0.0369,0.01499,0.36801,0.88194,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
40,326.389,0.5011,0.04843,0.06895,0.35876,0.85067,0.99234,0.975,0.99451,0.88886,0.99234,0.975,0.99451,0.99451,0.56076,0.03595,0.01484,0.35286,0.87335,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139,0.0048417,0.0016139
41,334.145,0.49613,0.05223,0.06769,0.35078,0.84156,1,0.9964,0.995,0.89049,1,0.9964,0.995,0.995,0.55272,0.03578,0.01346,0.32866,0.87124,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
42,341.802,0.51528,0.04534,0.09079,0.35503,0.84788,0.99907,1,0.995,0.87905,0.99907,1,0.995,0.995,0.55204,0.02729,0.01414,0.3177,0.86808,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941,0.0047823,0.0015941
43,349.15,0.5046,0.04854,0.07253,0.34339,0.84639,0.9963,1,0.995,0.87398,0.9963,1,0.995,0.995,0.54438,0.02524,0.01385,0.33114,0.8641,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
44,356.778,0.50727,0.09452,0.07894,0.35227,0.84136,0.99511,1,0.995,0.87988,0.99511,1,0.995,0.995,0.54088,0.02898,0.01238,0.31942,0.86542,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743,0.0047229,0.0015743
45,364.657,0.50821,0.06537,0.08019,0.34653,0.85261,0.9962,1,0.995,0.87849,0.9962,1,0.995,0.995,0.53412,0.03053,0.01075,0.33918,0.86798,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
46,372.028,0.50066,0.04546,0.08253,0.34751,0.85757,0.99516,1,0.995,0.88024,0.99516,1,0.995,0.995,0.5418,0.03083,0.01104,0.33582,0.86221,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545,0.0046635,0.0015545
47,380.177,0.5002,0.04095,0.06964,0.34872,0.84652,0.99101,1,0.995,0.90249,0.99101,1,0.995,0.99248,0.53061,0.04793,0.01202,0.32941,0.86536,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
48,387.855,0.47031,0.04752,0.06855,0.32962,0.84016,0.981,0.975,0.99451,0.90431,0.981,0.975,0.99451,0.98961,0.50241,0.04684,0.00983,0.3185,0.86425,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347,0.0046041,0.0015347
49,395.205,0.47265,0.04153,0.06228,0.32933,0.8396,0.97093,1,0.99451,0.90602,0.97093,1,0.99451,0.98913,0.50882,0.04727,0.00868,0.31795,0.86425,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
50,403.343,0.48243,0.05294,0.08159,0.33194,0.85205,0.97098,1,0.99256,0.90485,0.97098,1,0.99256,0.98923,0.53572,0.04861,0.0096,0.33267,0.86308,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149,0.0045447,0.0015149
51,411.193,0.47127,0.04804,0.0584,0.32189,0.82236,0.97243,1,0.98841,0.8918,0.97243,1,0.98841,0.98479,0.53565,0.04547,0.0077,0.32288,0.86414,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
