epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
35,651.52,0.52143,0.03293,0.05021,0.33886,0.84788,0.99881,1,0.995,0.91334,0.99881,1,0.995,0.995,0.46774,0.01793,0.00639,0.29226,0.85036,0.00559608,0.00186536,0.00559608,0.00186536,0.00559608,0.00186536,0.00559608,0.00186536
36,669,0.48614,0.03051,0.0471,0.32326,0.84202,0.99888,1,0.995,0.90136,0.99888,1,0.995,0.995,0.47123,0.02068,0.0064,0.29463,0.86346,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
37,687.041,0.4929,0.02916,0.04272,0.33382,0.84383,1,0.99985,0.995,0.89958,1,0.99985,0.995,0.995,0.49311,0.0203,0.00911,0.30022,0.86745,0.00557232,0.00185744,0.00557232,0.00185744,0.00557232,0.00185744,0.00557232,0.00185744
38,704.962,0.49688,0.02954,0.03812,0.32853,0.84082,0.99787,0.975,0.99405,0.9013,0.99787,0.975,0.99451,0.99451,0.49557,0.01983,0.03278,0.29853,0.86743,0.00556044,0.00185348,0.00556044,0.00185348,0.00556044,0.00185348,0.00556044,0.00185348
39,722.895,0.50184,0.03313,0.04345,0.32696,0.85634,0.98697,0.975,0.99278,0.88538,0.98697,0.975,0.99318,0.99318,0.51566,0.02259,0.00785,0.33578,0.85939,0.00554856,0.00184952,0.00554856,0.00184952,0.00554856,0.00184952,0.00554856,0.00184952
40,740.963,0.50512,0.02688,0.03436,0.33349,0.84621,0.99606,0.975,0.9936,0.90775,0.99606,0.975,0.99405,0.99405,0.48598,0.01833,0.00379,0.30481,0.85293,0.00553668,0.00184556,0.00553668,0.00184556,0.00553668,0.00184556,0.00553668,0.00184556
41,759.025,0.49218,0.02872,0.04082,0.32542,0.84346,0.97557,0.99825,0.99329,0.90662,0.97557,0.99825,0.99329,0.99329,0.45758,0.02531,0.05044,0.29687,0.84664,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
42,776.866,0.49917,0.02746,0.0395,0.32225,0.83874,0.973,1,0.98963,0.9014,0.973,1,0.98963,0.98963,0.4602,0.01676,0.01254,0.29293,0.85574,0.00551292,0.00183764,0.00551292,0.00183764,0.00551292,0.00183764,0.00551292,0.00183764
43,794.984,0.48606,0.02955,0.04339,0.32073,0.84091,0.99711,1,0.995,0.90258,0.99711,1,0.995,0.995,0.49409,0.01643,0.02484,0.30127,0.86354,0.00550104,0.00183368,0.00550104,0.00183368,0.00550104,0.00183368,0.00550104,0.00183368
44,813.136,0.49894,0.02788,0.04951,0.32246,0.85673,0.9987,1,0.995,0.90831,0.9987,1,0.995,0.995,0.47761,0.01589,0.0121,0.29008,0.85065,0.00548916,0.00182972,0.00548916,0.00182972,0.00548916,0.00182972,0.00548916,0.00182972
45,830.671,0.48463,0.02762,0.04321,0.31586,0.84333,0.99897,1,0.995,0.90053,0.99897,1,0.995,0.995,0.46734,0.01377,0.0033,0.27171,0.86077,0.00547728,0.00182576,0.00547728,0.00182576,0.00547728,0.00182576,0.00547728,0.00182576
46,848.617,0.49003,0.02885,0.04589,0.3312,0.85432,0.99924,1,0.995,0.89733,0.99924,1,0.995,0.995,0.47499,0.01362,0.00417,0.28689,0.85875,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
47,866.672,0.49149,0.03072,0.03598,0.33106,0.85252,0.99792,1,0.995,0.91777,0.99792,1,0.995,0.995,0.45006,0.01379,0.00345,0.27374,0.85571,0.00545352,0.00181784,0.00545352,0.00181784,0.00545352,0.00181784,0.00545352,0.00181784
48,884.615,0.4814,0.02794,0.04037,0.31514,0.83636,0.99838,1,0.995,0.90387,0.99838,1,0.995,0.995,0.46106,0.01393,0.005,0.27568,0.85762,0.00544164,0.00181388,0.00544164,0.00181388,0.00544164,0.00181388,0.00544164,0.00181388
49,902.63,0.47769,0.02878,0.03421,0.31845,0.83904,0.99703,1,0.995,0.88639,0.99703,1,0.995,0.995,0.48699,0.0145,0.00268,0.29012,0.86127,0.00542976,0.00180992,0.00542976,0.00180992,0.00542976,0.00180992,0.00542976,0.00180992
50,920.534,0.48321,0.02528,0.03883,0.31721,0.84799,0.9983,1,0.995,0.91894,0.9983,1,0.995,0.995,0.45835,0.0172,0.00196,0.27064,0.86031,0.00541788,0.00180596,0.00541788,0.00180596,0.00541788,0.00180596,0.00541788,0.00180596
51,938.692,0.4882,0.03227,0.03665,0.31873,0.84491,0.99724,1,0.995,0.90795,0.99724,1,0.995,0.995,0.49026,0.02088,0.00164,0.28708,0.87081,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
52,956.265,0.46694,0.02681,0.03886,0.31075,0.84253,0.99802,1,0.995,0.915,0.99802,1,0.995,0.995,0.46911,0.0154,0.0025,0.29117,0.86518,0.00539412,0.00179804,0.00539412,0.00179804,0.00539412,0.00179804,0.00539412,0.00179804
53,973.7,0.46399,0.02834,0.0389,0.31132,0.83951,0.9979,1,0.995,0.90686,0.9979,1,0.995,0.995,0.50004,0.01605,0.0024,0.2728,0.85562,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408,0.00538224,0.00179408
54,991.17,0.45983,0.02855,0.0294,0.30405,0.84423,0.99798,1,0.995,0.91462,0.99798,1,0.995,0.995,0.45588,0.01776,0.01005,0.26386,0.84809,0.00537036,0.00179012,0.00537036,0.00179012,0.00537036,0.00179012,0.00537036,0.00179012
55,1009.5,0.46523,0.0253,0.03626,0.30476,0.8397,0.97423,1,0.99451,0.90892,0.99704,1,0.995,0.995,0.44253,0.01404,0.0036,0.27507,0.83419,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616,0.00535848,0.00178616
56,1027.47,0.46839,0.02456,0.02925,0.31049,0.82682,0.97526,1,0.99451,0.91438,0.99771,1,0.995,0.995,0.46154,0.01223,0.00274,0.30477,0.83632,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
57,1045.47,0.4785,0.03106,0.04452,0.30883,0.84484,0.99563,1,0.995,0.92382,0.99563,1,0.995,0.995,0.4564,0.0164,0.00257,0.28325,0.84334,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824,0.00533472,0.00177824
58,1063.74,0.46656,0.02944,0.03222,0.30885,0.83008,0.9971,1,0.995,0.91614,0.9971,1,0.995,0.995,0.47511,0.01677,0.00194,0.29258,0.84806,0.00532284,0.00177428,0.00532284,0.00177428,0.00532284,0.00177428,0.00532284,0.00177428
59,1081.85,0.46616,0.02251,0.03579,0.31916,0.83601,0.99924,1,0.995,0.91631,0.99924,1,0.995,0.99443,0.44817,0.01786,0.00205,0.27237,0.84293,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032,0.00531096,0.00177032
60,1099.64,0.47995,0.02513,0.0382,0.31533,0.84677,0.97342,1,0.99451,0.91664,0.97342,1,0.99451,0.99451,0.45797,0.01677,0.00273,0.27357,0.84923,0.00529908,0.00176636,0.00529908,0.00176636,0.00529908,0.00176636,0.00529908,0.00176636
61,1117.71,0.45902,0.02568,0.03887,0.30857,0.83354,0.97417,1,0.99451,0.90012,0.97417,1,0.99451,0.99451,0.48668,0.0142,0.00195,0.29138,0.85991,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
62,1135.77,0.47143,0.0221,0.0389,0.31111,0.8451,0.99084,1,0.995,0.9165,0.99084,1,0.995,0.995,0.4775,0.01578,0.00198,0.27592,0.84971,0.00527532,0.00175844,0.00527532,0.00175844,0.00527532,0.00175844,0.00527532,0.00175844
