sequence,tracker,runtime_seconds,observation_count,kept_observation_count,covered_observation_count,rejected_observation_count,pair_true_positive,pair_false_positive,pair_false_negative,pairwise_precision,pairwise_recall,pairwise_f1,emitted_track_count,scored_partition_count,contaminated_track_count,contaminated_observation_count,gold_identity_count,fragmented_identity_count,fragmentation_excess,exact_partition,gold_discard_count,rejection_true_positive,rejection_false_positive,rejection_false_negative,rejection_precision,rejection_recall,rejection_f1
Kai1,production_preprocessor_ilp,23.57400290001533,1293,1273,1273,0,653512,0,0,1.0,1.0,1.0,3,3,0,0,3,0,0,True,20,17,0,3,1.0,0.85,0.9189189189189189
MVI_5332,boxmot_oc_sort,0.5247297000023536,2830,2826,2794,32,755603,0,180039,1.0,0.8075770433563264,0.8935464702039031,9,41,0,0,6,6,35,False,4,4,32,0,0.1111111111111111,1.0,0.19999999999999998
MVI_5332,boxmot_bot_sort_gmc_no_reid,20.90909129998181,2830,2826,2820,6,690689,0,244953,1.0,0.7381979432304236,0.8493830591681522,9,15,0,0,6,4,9,False,4,4,6,0,0.4,1.0,0.5714285714285715
MVI_5332,production_preprocessor_ilp,19.18711849997635,2830,2826,2826,0,716418,1230,219224,0.9982860678215504,0.7656967087839153,0.8666573922300382,8,8,1,251,6,2,3,False,4,4,0,0,1.0,1.0,1.0
MVI_5346,boxmot_oc_sort,1.1232416999991983,5247,5236,5148,88,2308381,35066,1516978,0.98503657219472,0.6034416639065772,0.748404472437616,17,105,2,607,11,11,96,False,11,11,88,0,0.1111111111111111,1.0,0.19999999999999998
MVI_5346,boxmot_bot_sort_gmc_no_reid,53.28352430000086,5247,5236,5203,33,2490526,412812,1334833,0.8578146946721326,0.6510568027732822,0.7402699215018896,15,48,2,2146,11,9,39,False,11,10,33,1,0.23255813953488372,0.9090909090909091,0.3703703703703703
MVI_5346,production_preprocessor_ilp,52.63902760000201,5247,5236,5236,0,2812650,1009147,1012709,0.7359496069519129,0.7352643242111394,0.7356068059812041,13,13,2,3744,11,4,4,False,11,10,0,1,1.0,0.9090909090909091,0.9523809523809523
MVI_5348,boxmot_oc_sort,1.2582059999986086,7647,7639,7501,138,3489290,10105,1820068,0.9971123579933103,0.657196218450517,0.7922324533336331,27,165,1,2026,11,10,155,False,8,7,138,1,0.04827586206896552,0.875,0.09150326797385622
MVI_5348,boxmot_bot_sort_gmc_no_reid,57.40119020000566,7647,7639,7609,30,3746008,12810,1563350,0.9965920137660297,0.7055482037564617,0.8261877581555541,23,53,1,2141,11,8,43,False,8,4,30,4,0.11764705882352941,0.5,0.19047619047619047
MVI_5348,production_preprocessor_ilp,56.86911879997933,7647,7639,7636,3,4570342,2290,739016,0.9994991943370908,0.860808783284156,0.9249841378102993,15,18,1,1147,11,6,8,False,8,3,3,5,0.5,0.375,0.42857142857142855
ride mit den booooyyyys,boxmot_oc_sort,1.203434799972456,6166,6144,6033,111,2286917,54071,2340794,0.9769024873258642,0.4941788715846776,0.6563397271140567,22,133,3,1912,9,9,127,False,22,17,111,5,0.1328125,0.7727272727272727,0.22666666666666668
ride mit den booooyyyys,boxmot_bot_sort_gmc_no_reid,67.579329900007,6166,6144,6137,7,4413199,4943,214512,0.9988812039087924,0.9536461978719069,0.9757397118878672,11,18,2,1609,9,6,11,False,22,14,7,8,0.6666666666666666,0.6363636363636364,0.6511627906976744
ride mit den booooyyyys,production_preprocessor_ilp,66.0075141999987,6166,6144,6140,4,4595502,15596,32209,0.9966177253226889,0.9930399715971892,0.9948256317453905,10,14,1,1128,9,4,6,False,22,11,4,11,0.7333333333333333,0.5,0.5945945945945945
