epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,2520.18,0.59841,0.05008,0.0562,0.37029,0.88403,1,0.99769,0.995,0.90647,1,0.99769,0.995,0.995,0.52312,0.02725,0.00513,0.30496,0.85483,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
47,2573.88,0.59688,0.05373,0.06841,0.36946,0.88325,0.9857,0.9988,0.99486,0.89162,0.9857,0.9988,0.99486,0.99354,0.53306,0.03863,0.00399,0.30435,0.84431,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
48,2627.62,0.59599,0.04561,0.05839,0.37156,0.88127,0.99637,1,0.995,0.89618,0.99637,1,0.995,0.99436,0.53186,0.03439,0.00809,0.29192,0.85054,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347,0.0286041,0.0095347
49,2681.32,0.60077,0.04946,0.05775,0.37461,0.88021,1,0.96923,0.99378,0.88406,1,0.96923,0.99378,0.99194,0.55747,0.04136,0.02981,0.34571,0.86491,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
50,2735.27,0.58753,0.04845,0.05848,0.36364,0.8819,0.96995,1,0.99457,0.89818,0.96995,1,0.99457,0.99388,0.50858,0.03898,0.00813,0.31001,0.84492,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149,0.0285447,0.0095149
51,2789.44,0.59471,0.04658,0.05753,0.36991,0.87529,0.99857,0.97101,0.99379,0.88931,0.99857,0.97101,0.99379,0.99374,0.52232,0.03556,0.03534,0.32227,0.84999,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
52,2842.92,0.58657,0.04173,0.06117,0.36073,0.88632,1,0.98322,0.99472,0.89666,1,0.98322,0.99472,0.9941,0.51916,0.0327,0.01155,0.30748,0.84635,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951,0.0284853,0.0094951
53,2896.75,0.58652,0.04825,0.06009,0.36492,0.87576,0.99588,0.98551,0.99472,0.89728,0.99588,0.98551,0.99472,0.99472,0.52323,0.02827,0.00326,0.29353,0.84791,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
54,2950.07,0.58056,0.04596,0.05555,0.35491,0.87101,0.99862,0.98551,0.99486,0.88971,0.99862,0.98551,0.99486,0.99486,0.52148,0.02417,0.01253,0.28726,0.85109,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753,0.0284259,0.0094753
55,3005.46,0.58561,0.04218,0.05559,0.36452,0.87778,0.98463,1,0.99471,0.89054,0.98463,1,0.99471,0.99471,0.52618,0.02242,0.00661,0.32311,0.84896,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
