epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,549.719,0.5521,0.35512,0.87942,0.97671,0.99862,0.99407,0.8806,0.55225,0.38675,0.78663,0.000812,0.000812,0.000812
62,558.128,0.5709,0.36226,0.88747,0.97598,1,0.995,0.87572,0.56676,0.36399,0.80226,0.0007922,0.0007922,0.0007922
63,566.583,0.54869,0.34786,0.87577,0.99554,0.97619,0.99453,0.89081,0.54033,0.37002,0.79283,0.0007724,0.0007724,0.0007724
64,575.272,0.56373,0.35848,0.8863,0.94174,0.97619,0.99094,0.88377,0.54667,0.38178,0.78694,0.0007526,0.0007526,0.0007526
65,583.658,0.53797,0.34525,0.86983,0.97314,0.97619,0.99409,0.89388,0.52438,0.35868,0.78958,0.0007328,0.0007328,0.0007328
66,592.035,0.5484,0.35064,0.8712,0.97655,0.9915,0.99337,0.88315,0.52132,0.39957,0.79094,0.000713,0.000713,0.000713
67,600.452,0.53844,0.34143,0.87225,0.95401,1,0.99337,0.90949,0.51386,0.36641,0.78742,0.0006932,0.0006932,0.0006932
68,609.314,0.5276,0.3442,0.85832,0.97346,1,0.99337,0.88661,0.51774,0.34861,0.79777,0.0006734,0.0006734,0.0006734
69,617.705,0.53372,0.3411,0.86765,0.97339,1,0.99453,0.90197,0.47147,0.33018,0.77817,0.0006536,0.0006536,0.0006536
70,626.095,0.52804,0.33881,0.87494,0.95453,0.99959,0.9929,0.88785,0.48169,0.35847,0.77662,0.0006338,0.0006338,0.0006338
71,634.532,0.53499,0.34249,0.86641,0.97615,0.97463,0.99278,0.89006,0.52243,0.36859,0.79032,0.000614,0.000614,0.000614
72,643.263,0.53291,0.33895,0.87319,0.97306,0.97619,0.9929,0.88816,0.51373,0.34756,0.78708,0.0005942,0.0005942,0.0005942
73,651.737,0.53063,0.33071,0.86783,0.99349,1,0.995,0.90137,0.5013,0.33944,0.77721,0.0005744,0.0005744,0.0005744
74,660.072,0.51648,0.32994,0.86504,0.97436,1,0.99407,0.88755,0.53982,0.33657,0.78618,0.0005546,0.0005546,0.0005546
75,668.781,0.5178,0.33107,0.87128,0.97433,1,0.99337,0.88616,0.53342,0.34602,0.78686,0.0005348,0.0005348,0.0005348
76,678.657,0.52671,0.32595,0.8735,0.97474,1,0.99453,0.90139,0.50966,0.3346,0.77939,0.000515,0.000515,0.000515
77,687.167,0.51238,0.32024,0.86027,0.97328,0.97619,0.99367,0.89267,0.50556,0.31977,0.77483,0.0004952,0.0004952,0.0004952
78,695.737,0.50871,0.32395,0.85626,0.95327,0.97619,0.9904,0.89875,0.48243,0.34302,0.77399,0.0004754,0.0004754,0.0004754
79,704.23,0.48646,0.30885,0.86479,0.96405,0.97619,0.99033,0.90541,0.46615,0.34705,0.7688,0.0004556,0.0004556,0.0004556
80,713.527,0.49857,0.315,0.86958,0.95251,1,0.9929,0.88774,0.51621,0.35065,0.78773,0.0004358,0.0004358,0.0004358
81,722.007,0.49333,0.3098,0.87016,0.97536,1,0.99291,0.89392,0.49551,0.35298,0.77985,0.000416,0.000416,0.000416
82,730.387,0.50837,0.31554,0.86221,0.9748,1,0.99291,0.88503,0.50886,0.3278,0.7787,0.0003962,0.0003962,0.0003962
83,738.817,0.50348,0.30786,0.85805,0.97607,0.97124,0.99207,0.89156,0.49737,0.35201,0.77969,0.0003764,0.0003764,0.0003764
84,747.747,0.4868,0.30641,0.86547,0.96576,1,0.99337,0.89402,0.49748,0.35912,0.77683,0.0003566,0.0003566,0.0003566
85,756.171,0.4833,0.30529,0.85672,0.97672,1,0.99337,0.90731,0.49553,0.34306,0.77819,0.0003368,0.0003368,0.0003368
86,764.558,0.47081,0.29244,0.85734,0.97072,1,0.99174,0.91669,0.44832,0.34017,0.77193,0.000317,0.000317,0.000317
87,773.123,0.48015,0.29997,0.84564,0.95284,1,0.99242,0.90276,0.47584,0.33544,0.77229,0.0002972,0.0002972,0.0002972
88,781.988,0.47603,0.29631,0.84588,0.95193,1,0.99242,0.9141,0.45818,0.34499,0.77259,0.0002774,0.0002774,0.0002774
89,790.36,0.46395,0.29226,0.84195,0.9524,1,0.99242,0.91505,0.45306,0.32429,0.77385,0.0002576,0.0002576,0.0002576
90,798.692,0.45686,0.28726,0.8407,0.97091,0.97619,0.99152,0.90194,0.48005,0.31707,0.77778,0.0002378,0.0002378,0.0002378
91,808.756,0.42303,0.25779,0.83209,0.95315,1,0.99195,0.90393,0.48015,0.32108,0.77579,0.000218,0.000218,0.000218
92,817.318,0.42694,0.26188,0.83703,0.95346,1,0.99195,0.91685,0.49074,0.32555,0.77494,0.0001982,0.0001982,0.0001982
93,825.869,0.42659,0.26195,0.83403,0.95361,1,0.99132,0.90498,0.49647,0.34067,0.77492,0.0001784,0.0001784,0.0001784
94,834.238,0.41451,0.25294,0.82472,0.95164,1,0.99074,0.90356,0.49456,0.34509,0.7756,0.0001586,0.0001586,0.0001586
95,842.657,0.40989,0.24746,0.82577,0.95231,1,0.99123,0.90368,0.49057,0.34386,0.77708,0.0001388,0.0001388,0.0001388
96,851.027,0.41165,0.24907,0.82365,0.95419,1,0.99242,0.90338,0.47583,0.33005,0.77371,0.000119,0.000119,0.000119
97,859.516,0.39854,0.24113,0.8144,0.95246,1,0.99242,0.90073,0.48348,0.33292,0.77441,9.92e-05,9.92e-05,9.92e-05
98,867.971,0.39546,0.23857,0.82624,0.95382,1,0.99291,0.90855,0.48256,0.31152,0.77407,7.94e-05,7.94e-05,7.94e-05
99,876.504,0.39662,0.23711,0.81997,0.95377,1,0.99337,0.91638,0.48161,0.31363,0.77507,5.96e-05,5.96e-05,5.96e-05
100,885.277,0.39828,0.23838,0.81831,0.95387,1,0.99337,0.91652,0.48768,0.31031,0.77562,3.98e-05,3.98e-05,3.98e-05
